screen_name,name,description,description_urls,expanded_url,followers_count,following_count,listed_count,id,category,tag,date_added
100baggerhunt,Kevin,📕 Use AI to find small quality multibaggers https://t.co/08usenDrhe,['http://www.investwithgpt.ai'],http://www.100baggerhunting.com,12991,554,191,1587162350662066176,investing,blog,2/2/26 0:00
abcampbell,Campbell,macro stoic,[],https://www.campbellramble.ai,89900,2056,1613,362893876,investing,"blog, metals",2/2/26 0:00
ACInvestorBlog,Antonio Costa,I'm a 51 year old private trader using proprietary technical analysis w/+20yrs experience of investing in stock markets. Do your own research. Tweets not advice,[],https://stocktwits.com/ACInvestorBlog,211816,547,3275,55561590,investing,blog,2/2/26 0:00
adam_tooze,Adam Tooze,"Hist/Econ/Theory
C******* University. Born UK, raised FRG. 
Publisher @surplusmagazin  
@OnesandToozePod
Chartbook substack newsletter",[],https://adamtooze.substack.com/,225364,8166,4056,3311286493,investing,blog,2/2/26 0:00
AllJimRogers,Jim Rogers,"Breaking news about Jim Rogers (Investor), curated by @quiboatnews.",[],http://www.jimrogers.com/,69233,8951,1546,86582499,investing,"blog, author",2/2/26 0:00
AlmanacTrader,Jeffrey A. Hirsch,"CEO Hirsch Holdings, Publisher Almanac Trader, Editor Stock Trader’s Almanac | “Those who understand market history are bound to profit from it!”",[],http://www.stocktradersalmanac.com,45576,1178,1219,55308734,investing,author,2/2/26 0:00
amitisinvesting,amit,"breaking down tech, business, & stocks $PLTR",[],https://youtube.com/@amitinvesting?si=WUvuxDKnPtkCvtjB,315192,810,3337,1468103131737247748,investing,youtube,2/2/26 0:00
andrewrsorkin,Andrew Ross Sorkin,"@NYTimes Columnist/Editor & @SquawkCNBC Co-Anchor. Author, “1929” + “Too Big To Fail”. Founder, @DealBook. CoCreator, BILLIONS @Showtime. Proud Dad.",[],https://sites.prh.com/1929,982961,3667,8505,33792634,investing,author,2/2/26 0:00
Ashton_1nvests,Ashton Invests,"Studying fundamentals of stocks and investment strategy, $SOFI Bull📈|Not Financial Advice|",['https://ashtons-newsletter-investing.beehiiv.com/'],https://ashtons-newsletter-investing.beehiiv.com/,29840,764,383,1213202268717080576,investing,newsletter,2/2/26 0:00
balajis,Balaji,Author of the Network State. Founder of the Network School.,[],https://ns.com,1273821,3913,18985,2178012643,investing,author,2/2/26 0:00
Brad_Setser,Brad Setser,CFR senior fellow.  Views are my own. Retweets are not endorsements.  Writes on sovereign debt and capital flows.,[],,144382,1026,3493,733647469305864195,investing,kol,2/2/26 0:00
BurggrabenH,Alexander Stahel 🌻,Investor; you are here for energy & metal commodities mostly; be aware of imposters (I won’t ask for your business),[],https://www.thecommoditycompass.com/,115634,5601,2452,2870974910,investing,"blog, energy, metals",2/2/26 0:00
CalebFranzen,Caleb Franzen,Analyst.,[],https://cubicanalytics.substack.com/subscribe,61516,743,1334,1277423417365377025,investing,blog,2/2/26 0:00
chamath,Chamath Palihapitiya,God is in the details.,[],http://chamath.substack.com,1946474,1080,16981,3291691,investing,"kol, blog",2/2/26 0:00
CheddarFlow,Cheddar Flow,Covering unusual options flow. Free course: https://t.co/hY4cg1xx1N | Discord https://t.co/gPt8wpbaUg | Youtube: https://t.co/UXRDXJ3Bl0,"['http://cheddarflow.co/academy', 'http://cheddarflow.co/discord', 'http://youtube.com/@cheddarflow']",http://cheddarflow.co/x,326866,97,4360,1004137473679679488,investing,"youtube, discord",2/2/26 0:00
